Model,Places,Transitions,Arcs
ShieldIIPs-PT-050B,3003,2953,8906
ShieldIIPs-PT-100A,2503,2403,10806
ShieldIIPs-PT-100B,6003,5903,17806
ShieldIIPt-PT-001A,22,17,66
ShieldIIPt-PT-001B,73,68,168
ShieldIIPt-PT-002A,41,31,126
ShieldIIPt-PT-002B,143,133,330
ShieldIIPt-PT-003A,60,45,186
ShieldIIPt-PT-003B,213,198,492
ShieldIIPt-PT-004A,79,59,246
ShieldIIPt-PT-004B,283,263,654
ShieldIIPt-PT-005A,98,73,306
ShieldIIPt-PT-005B,353,328,816
ShieldIIPt-PT-010A,193,143,606
ShieldIIPt-PT-010B,703,653,1626
ShieldIIPt-PT-020A,383,283,1206
ShieldIIPt-PT-020B,1403,1303,3246
ShieldIIPt-PT-030A,573,423,1806
ShieldIIPt-PT-030B,2103,1953,4866
ShieldIIPt-PT-040A,763,563,2406
ShieldIIPt-PT-040B,2803,2603,6486
ShieldIIPt-PT-050A,953,703,3006
ShieldIIPt-PT-050B,3503,3253,8106
ShieldIIPt-PT-100A,1903,1403,6006
ShieldIIPt-PT-100B,7003,6503,16206
ShieldPPPs-PT-001A,34,29,106
ShieldPPPs-PT-001B,71,66,180
ShieldPPPs-PT-002A,65,55,206
ShieldPPPs-PT-002B,139,129,354
ShieldPPPs-PT-003A,96,81,306
ShieldPPPs-PT-003B,207,192,528
ShieldPPPs-PT-004A,127,107,406
ShieldPPPs-PT-004B,275,255,702
ShieldPPPs-PT-005A,158,133,506
ShieldPPPs-PT-005B,343,318,876
ShieldPPPs-PT-010A,313,263,1006
ShieldPPPs-PT-010B,683,633,1746
ShieldPPPs-PT-020A,623,523,2006
ShieldPPPs-PT-020B,1363,1263,3486
ShieldPPPs-PT-030A,933,783,3006
ShieldPPPs-PT-030B,2043,1893,5226
ShieldPPPs-PT-040A,1243,1043,4006
ShieldPPPs-PT-040B,2723,2523,6966
ShieldPPPs-PT-050A,1553,1303,5006
ShieldPPPs-PT-050B,3403,3153,8706
ShieldPPPs-PT-100A,3103,2603,10006
ShieldPPPs-PT-100B,6803,6303,17406
ShieldPPPt-PT-001A,28,21,78
ShieldPPPt-PT-001B,81,74,184
ShieldPPPt-PT-002A,53,39,150
ShieldPPPt-PT-002B,159,145,362
ShieldPPPt-PT-003A,78,57,222
ShieldPPPt-PT-003B,237,216,540
ShieldPPPt-PT-004A,103,75,294
ShieldPPPt-PT-004B,315,287,718
ShieldPPPt-PT-005A,128,93,366
ShieldPPPt-PT-005B,393,358,896
ShieldPPPt-PT-010A,253,183,726
ShieldPPPt-PT-010B,783,713,1786
ShieldPPPt-PT-020A,503,363,1446
ShieldPPPt-PT-020B,1563,1423,3566
ShieldPPPt-PT-030A,753,543,2166
ShieldPPPt-PT-030B,2343,2133,5346
ShieldPPPt-PT-040A,1003,723,2886
ShieldPPPt-PT-040B,3123,2843,7126
ShieldPPPt-PT-050A,1253,903,3606
ShieldPPPt-PT-050B,3903,3553,8906
ShieldPPPt-PT-100A,2503,1803,7206
ShieldPPPt-PT-100B,7803,7103,17806
ShieldRVs-PT-001A,17,22,92
ShieldRVs-PT-001B,43,48,144
ShieldRVs-PT-002A,31,41,184
ShieldRVs-PT-002B,83,93,288
ShieldRVs-PT-003A,45,60,276
ShieldRVs-PT-003B,123,138,432
ShieldRVs-PT-004A,59,79,368
ShieldRVs-PT-004B,163,183,576
ShieldRVs-PT-005A,73,98,460
ShieldRVs-PT-005B,203,228,720
ShieldRVs-PT-010A,143,193,920
ShieldRVs-PT-010B,403,453,1440
ShieldRVs-PT-020A,283,383,1840
ShieldRVs-PT-020B,803,903,2880
ShieldRVs-PT-030A,423,573,2760
ShieldRVs-PT-030B,1203,1353,4320
ShieldRVs-PT-040A,563,763,3680
ShieldRVs-PT-040B,1603,1803,5760
ShieldRVs-PT-050A,703,953,4600
ShieldRVs-PT-050B,2003,2253,7200
ShieldRVs-PT-100A,1403,1903,9200
ShieldRVs-PT-100B,4003,4503,14400
ShieldRVt-PT-001A,11,11,40
ShieldRVt-PT-001B,53,53,124
ShieldRVt-PT-002A,19,19,74
ShieldRVt-PT-002B,103,103,242
ShieldRVt-PT-003A,27,27,108
ShieldRVt-PT-003B,153,153,360
ShieldRVt-PT-004A,35,35,142
ShieldRVt-PT-004B,203,203,478
ShieldRVt-PT-005A,43,43,176
ShieldRVt-PT-005B,253,253,596
ShieldRVt-PT-010A,83,83,346
ShieldRVt-PT-010B,503,503,1186
ShieldRVt-PT-020A,163,163,686
ShieldRVt-PT-020B,1003,1003,2366
ShieldRVt-PT-030A,243,243,1026
ShieldRVt-PT-030B,1503,1503,3546
ShieldRVt-PT-040A,323,323,1366
ShieldRVt-PT-040B,2003,2003,4726
ShieldRVt-PT-050A,403,403,1706
ShieldRVt-PT-050B,2503,2503,5906
ShieldRVt-PT-100A,803,803,3406
ShieldRVt-PT-100B,5003,5003,11806
SieveSingleMsgMbox-PT-d0m04,262,73,292
SieveSingleMsgMbox-PT-d0m06,262,73,292
SieveSingleMsgMbox-PT-d0m18,262,73,292
SieveSingleMsgMbox-PT-d0m36,262,73,292
SieveSingleMsgMbox-PT-d0m64,262,73,292
SieveSingleMsgMbox-PT-d0m96,262,73,292
SieveSingleMsgMbox-PT-d1m04,1295,749,2996
SieveSingleMsgMbox-PT-d1m06,1295,749,2996
SieveSingleMsgMbox-PT-d1m18,1295,749,2996
SieveSingleMsgMbox-PT-d1m36,1295,749,2996
SieveSingleMsgMbox-PT-d1m64,1295,749,2996
SieveSingleMsgMbox-PT-d1m96,1295,749,2996
SieveSingleMsgMbox-PT-d2m04,2398,1954,7816
SieveSingleMsgMbox-PT-d2m06,2398,1954,7816
SieveSingleMsgMbox-PT-d2m18,2398,1954,7816
SieveSingleMsgMbox-PT-d2m36,2398,1954,7816
SieveSingleMsgMbox-PT-d2m64,2398,1954,7816
SieveSingleMsgMbox-PT-d2m96,2398,1954,7816
SimpleLoadBal-PT-02,32,45,252
SimpleLoadBal-PT-05,59,180,1158
SimpleLoadBal-PT-10,104,605,4148
SimpleLoadBal-PT-15,149,1280,8988
SimpleLoadBal-PT-20,194,2205,15678
SmallOperatingSystem-PT-MT0016DC0008,9,8,27
SmallOperatingSystem-PT-MT0032DC0008,9,8,27
SmallOperatingSystem-PT-MT0032DC0016,9,8,27
SmallOperatingSystem-PT-MT0064DC0016,9,8,27
SmallOperatingSystem-PT-MT0064DC0032,9,8,27
SmallOperatingSystem-PT-MT0128DC0032,9,8,27
SmallOperatingSystem-PT-MT0128DC0064,9,8,27
SmallOperatingSystem-PT-MT0256DC0064,9,8,27
SmallOperatingSystem-PT-MT0256DC0128,9,8,27
SmallOperatingSystem-PT-MT0512DC0128,9,8,27
SmallOperatingSystem-PT-MT0512DC0256,9,8,27
SmallOperatingSystem-PT-MT1024DC0256,9,8,27
SmallOperatingSystem-PT-MT1024DC0512,9,8,27
SmallOperatingSystem-PT-MT2048DC0512,9,8,27
SmallOperatingSystem-PT-MT2048DC1024,9,8,27
SmallOperatingSystem-PT-MT4096DC1024,9,8,27
SmallOperatingSystem-PT-MT4096DC2048,9,8,27
SmallOperatingSystem-PT-MT8192DC2048,9,8,27
SmallOperatingSystem-PT-MT8192DC4096,9,8,27
SmartHome-PT-01,38,113,321
SmartHome-PT-02,41,127,359
SmartHome-PT-03,45,145,405
SmartHome-PT-04,139,159,361
SmartHome-PT-05,213,245,557
SmartHome-PT-06,219,254,581
SmartHome-PT-07,251,290,658
SmartHome-PT-08,252,291,664
SmartHome-PT-09,253,293,664
SmartHome-PT-10,273,308,699
SmartHome-PT-11,290,315,722
SmartHome-PT-12,376,399,909
SmartHome-PT-13,385,407,935
SmartHome-PT-14,422,448,1026
SmartHome-PT-15,427,451,1038
SmartHome-PT-16,499,533,1222
SmartHome-PT-17,571,617,1410
SmartHome-PT-18,653,706,1618
SmartHome-PT-19,741,809,1844
Solitaire-PT-EngCT7x7,67,76,532
Solitaire-PT-EngNC7x7,66,76,456
Solitaire-PT-FrnCT7x7,75,92,644
Solitaire-PT-FrnNC7x7,74,92,552
Solitaire-PT-SqrCT5x5,51,84,540
Solitaire-PT-SqrNC5x5,50,84,456
SquareGrid-PT-020102,68,72,288
SquareGrid-PT-040204,240,272,1088
SquareGrid-PT-080408,896,1056,4224
SquareGrid-PT-100510,1380,1640,6560
SquareGrid-PT-130613,2301,2756,11024
StigmergyCommit-PT-02a,112,204,693
StigmergyCommit-PT-02b,928,1040,2439
StigmergyCommit-PT-03a,148,332,1538
StigmergyCommit-PT-03b,1231,1476,4168
StigmergyCommit-PT-04a,184,592,4011
StigmergyCommit-PT-04b,1534,2136,8601
StigmergyCommit-PT-05a,220,1212,11640
StigmergyCommit-PT-05b,1837,3460,22362
StigmergyCommit-PT-06a,256,2816,35321
StigmergyCommit-PT-06b,2140,6760,67803
StigmergyCommit-PT-07a,292,7108,108222
StigmergyCommit-PT-07b,2443,15956,219500
StigmergyCommit-PT-08a,328,18744,330279
StigmergyCommit-PT-08b,2746,42776,723933
StigmergyCommit-PT-09a,364,50444,999956
StigmergyCommit-PT-09b,3049,122340,2389246
StigmergyCommit-PT-10a,400,136960,3002181
StigmergyCommit-PT-10b,3352,359880,7847007
StigmergyCommit-PT-11a,436,373236,8944506
StigmergyCommit-PT-11b,3655,1070836,25615632
StigmergyElection-PT-02a,30,66,196
StigmergyElection-PT-02b,291,332,734
StigmergyElection-PT-03a,44,118,467
StigmergyElection-PT-03b,427,518,1323
StigmergyElection-PT-04a,58,218,1238
StigmergyElection-PT-04b,563,780,2680
StigmergyElection-PT-05a,72,450,3637
StigmergyElection-PT-05b,699,1266,6741
StigmergyElection-PT-06a,86,1042,11192
StigmergyElection-PT-06b,835,2416,20130
StigmergyElection-PT-07a,100,2618,34799
StigmergyElection-PT-07b,971,5542,65199
StigmergyElection-PT-08a,114,6882,107626
StigmergyElection-PT-08b,1107,14564,216524
StigmergyElection-PT-09a,128,18490,329609
StigmergyElection-PT-09b,1243,41210,720585
StigmergyElection-PT-10a,142,50162,999212
StigmergyElection-PT-10b,1379,120600,2385526
StigmergyElection-PT-11a,156,136650,3001363
StigmergyElection-PT-11b,1515,357966,7842915
Sudoku-COL-AN01,4,1,4
Sudoku-COL-AN02,4,1,4
Sudoku-COL-AN03,4,1,4
Sudoku-COL-AN04,4,1,4
Sudoku-COL-AN05,4,1,4
Sudoku-COL-AN06,4,1,4
Sudoku-COL-AN07,4,1,4
Sudoku-COL-AN08,4,1,4
Sudoku-COL-AN09,4,1,4
Sudoku-COL-AN10,4,1,4
Sudoku-COL-AN11,4,1,4
Sudoku-COL-AN12,4,1,4
Sudoku-COL-AN13,4,1,4
Sudoku-COL-AN14,4,1,4
Sudoku-COL-AN15,4,1,4
Sudoku-COL-AN16,4,1,4
Sudoku-COL-BN01,5,1,5
Sudoku-COL-BN04,5,1,5
Sudoku-COL-BN09,5,1,5
Sudoku-COL-BN16,5,1,5
Sudoku-PT-AN01,4,1,4
Sudoku-PT-AN02,20,8,32
Sudoku-PT-AN03,54,27,108
Sudoku-PT-AN04,112,64,256
Sudoku-PT-AN05,200,125,500
Sudoku-PT-AN06,324,216,864
Sudoku-PT-AN07,490,343,1372
Sudoku-PT-AN08,704,512,2048
Sudoku-PT-AN09,972,729,2916
Sudoku-PT-AN10,1300,1000,4000
Sudoku-PT-AN11,1694,1331,5324
Sudoku-PT-AN12,2160,1728,6912
Sudoku-PT-AN13,2704,2197,8788
Sudoku-PT-AN14,3332,2744,10976
Sudoku-PT-AN15,4050,3375,13500
Sudoku-PT-AN16,4864,4096,16384
Sudoku-PT-BN01,5,1,5
Sudoku-PT-BN04,128,64,320
Sudoku-PT-BN09,1053,729,3645
Sudoku-PT-BN16,5120,4096,20480
SwimmingPool-PT-01,9,7,20
SwimmingPool-PT-02,9,7,20
SwimmingPool-PT-03,9,7,20
SwimmingPool-PT-04,9,7,20
SwimmingPool-PT-05,9,7,20
SwimmingPool-PT-06,9,7,20
SwimmingPool-PT-07,9,7,20
SwimmingPool-PT-08,9,7,20
SwimmingPool-PT-09,9,7,20
SwimmingPool-PT-10,9,7,20
Szymanski-PT-a02,61,224,900
Szymanski-PT-a04,61,224,900
Szymanski-PT-a06,61,224,900
Szymanski-PT-a08,61,224,900
Szymanski-PT-a10,61,224,900
Szymanski-PT-a12,61,224,900
Szymanski-PT-b02,568,8320,33408
Szymanski-PT-b04,568,8320,33408
Szymanski-PT-b06,568,8320,33408
Szymanski-PT-b08,568,8320,33408
Szymanski-PT-b10,568,8320,33408
Szymanski-PT-b12,568,8320,33408
TCPcondis-PT-05,30,32,108
TCPcondis-PT-10,30,32,108
TCPcondis-PT-15,30,32,108
TCPcondis-PT-20,30,32,108
TCPcondis-PT-25,30,32,108
TCPcondis-PT-30,30,32,108
TCPcondis-PT-35,30,32,108
TCPcondis-PT-40,30,32,108
TCPcondis-PT-50,30,32,108
TokenRing-COL-005,1,2,4
TokenRing-COL-010,1,2,4
TokenRing-COL-015,1,2,4
TokenRing-COL-020,1,2,4
TokenRing-COL-030,1,2,4
TokenRing-COL-040,1,2,4
TokenRing-COL-050,1,2,4
TokenRing-COL-100,1,2,4
TokenRing-COL-200,1,2,4
TokenRing-COL-500,1,2,4
TokenRing-PT-005,36,156,624
TokenRing-PT-010,121,1111,4444
TokenRing-PT-015,256,3616,14464
TokenRing-PT-020,441,8421,33684
TokenRing-PT-030,961,27931,111724
TokenRing-PT-040,1681,65641,262564
TokenRing-PT-050,2601,127551,510204
TriangularGrid-PT-1200,16,12,48
TriangularGrid-PT-1500,16,12,48
TriangularGrid-PT-2011,52,42,168
TriangularGrid-PT-3011,108,90,360
TriangularGrid-PT-3026,108,90,360
TriangularGrid-PT-4022,184,156,624
TriangularGrid-PT-5020,280,240,960
TriangularGrid-PT-5046,280,240,960
TwoPhaseLocking-PT-nC00004vD,8,6,18
TwoPhaseLocking-PT-nC00004vN,8,6,18
TwoPhaseLocking-PT-nC00010vD,8,6,18
TwoPhaseLocking-PT-nC00010vN,8,6,18
TwoPhaseLocking-PT-nC00020vD,8,6,18
TwoPhaseLocking-PT-nC00020vN,8,6,18
TwoPhaseLocking-PT-nC00050vD,8,6,18
TwoPhaseLocking-PT-nC00050vN,8,6,18
TwoPhaseLocking-PT-nC00100vD,8,6,18
TwoPhaseLocking-PT-nC00100vN,8,6,18
TwoPhaseLocking-PT-nC00200vD,8,6,18
TwoPhaseLocking-PT-nC00200vN,8,6,18
TwoPhaseLocking-PT-nC00500vD,8,6,18
TwoPhaseLocking-PT-nC00500vN,8,6,18
TwoPhaseLocking-PT-nC01000vD,8,6,18
TwoPhaseLocking-PT-nC01000vN,8,6,18
TwoPhaseLocking-PT-nC02000vD,8,6,18
TwoPhaseLocking-PT-nC02000vN,8,6,18
TwoPhaseLocking-PT-nC05000vD,8,6,18
TwoPhaseLocking-PT-nC05000vN,8,6,18
TwoPhaseLocking-PT-nC10000vD,8,6,18
TwoPhaseLocking-PT-nC10000vN,8,6,18
UtahNoC-PT-none,216,977,2905
UtilityControlRoom-COL-Z2T3N04,13,12,37
UtilityControlRoom-COL-Z2T3N06,13,12,37
UtilityControlRoom-COL-Z2T3N08,13,12,37
UtilityControlRoom-COL-Z2T3N10,13,12,37
UtilityControlRoom-COL-Z2T4N02,13,12,37
UtilityControlRoom-COL-Z2T4N04,13,12,37
UtilityControlRoom-COL-Z2T4N06,13,12,37
UtilityControlRoom-COL-Z2T4N08,13,12,37
UtilityControlRoom-COL-Z2T4N10,13,12,37
UtilityControlRoom-COL-Z4T3N06,13,12,37
UtilityControlRoom-COL-Z4T3N08,13,12,37
UtilityControlRoom-COL-Z4T3N10,13,12,37
UtilityControlRoom-COL-Z4T4N02,13,12,37
UtilityControlRoom-COL-Z4T4N04,13,12,37
UtilityControlRoom-COL-Z4T4N06,13,12,37
UtilityControlRoom-COL-Z4T4N08,13,12,37
UtilityControlRoom-COL-Z4T4N10,13,12,37
UtilityControlRoom-PT-Z2T3N04,72,108,340
UtilityControlRoom-PT-Z2T3N06,106,162,510
UtilityControlRoom-PT-Z2T3N08,140,216,680
UtilityControlRoom-PT-Z2T3N10,174,270,850
UtilityControlRoom-PT-Z2T4N02,38,54,170
UtilityControlRoom-PT-Z2T4N04,72,108,340
UtilityControlRoom-PT-Z2T4N06,106,162,510
UtilityControlRoom-PT-Z2T4N08,140,216,680
UtilityControlRoom-PT-Z2T4N10,174,270,850
UtilityControlRoom-PT-Z4T3N06,228,450,1446
UtilityControlRoom-PT-Z4T3N08,302,600,1928
UtilityControlRoom-PT-Z4T3N10,376,750,2410
UtilityControlRoom-PT-Z4T4N02,80,150,482
UtilityControlRoom-PT-Z4T4N04,154,300,964
UtilityControlRoom-PT-Z4T4N06,228,450,1446
UtilityControlRoom-PT-Z4T4N08,302,600,1928
UtilityControlRoom-PT-Z4T4N10,376,750,2410
Vasy2003-PT-none,485,776,2809
VehicularWifi-COL-none,21,41,136
ViralEpidemic-PT-S02D1C1A10,8189,10235,22517
ViralEpidemic-PT-S02D1C1A12,32765,40955,90101
ViralEpidemic-PT-S03D1C1A02,66,91,208
ViralEpidemic-PT-S03D1C1A04,606,847,1936
ViralEpidemic-PT-S03D1C1A06,5466,7651,17488
ViralEpidemic-PT-S03D1C1A08,49206,68887,157456
ViralEpidemic-PT-S04D1C1A02,127,189,441
ViralEpidemic-PT-S04D1C1A03,511,765,1785
ViralEpidemic-PT-S04D1C1A04,2047,3069,7161
ViralEpidemic-PT-S04D1C1A06,32767,49149,114681
ViralEpidemic-PT-S08D1C2A02,731,1241,2993
ViralEpidemic-PT-S08D1C2A04,46811,79577,191921
ViralEpidemic-PT-S16D2C4A01,307,561,1377
ViralEpidemic-PT-S16D2C4A02,4915,9009,22113
ViralEpidemic-PT-S16D2C4A03,78643,144177,353889
